07:53:12, 08:02:55, EXP, 10:00, 0:00:17, 0:09:42
08:02:55, 08:11:00, EXP, 08:00, 0:00:12, 0:17:47
08:11:00, 08:17:34, EXP, 06:00, -0:00:20, 0:24:21
08:17:34, 08:22:00, EXP, 04:00, -0:00:46, 0:28:47
08:22:00, 08:28:03, EXP, 06:00, -0:00:48, 0:34:50
08:28:03, 08:35:43, EXP, 06:00, -0:02:27, 0:42:30
08:35:43, 08:43:10, EXP, 08:00, -0:01:53, 0:49:57
08:43:10, 08:47:23, EXP, 04:00, -0:02:07, 0:54:10
08:47:23, 08:53:04, EXP, 06:00, -0:01:48, 0:59:51
08:53:04, 08:59:40, U-O, 07:00, -0:01:25, 1:06:28
08:59:40, 09:06:26, U-O, 07:00, -0:01:11, 1:13:13
09:06:26, 09:14:25, U-O, 08:00, -0:01:10, 1:21:12
09:14:25, 09:20:55, U-O, 07:00, -0:00:41, 1:27:42
09:20:55, 09:27:07, Image, 06:18, -0:00:36, 1:33:54
18:48:39, 18:56:26, EXP, 08:00, 0:00:13, 0:07:46
18:56:26, 19:04:06, EXP, 08:00, 0:00:33, 0:15:26
19:04:06, 19:10:58, EXP, 06:54, 0:00:34, 0:22:18
19:10:58, 19:16:48, EXP, 06:00, 0:00:44, 0:28:08
19:25:18, 19:33:16, EXP, 07:48, -0:00:10, 0:07:58
19:33:16, 19:39:56, YouTube, 06:48, -0:00:01, 0:14:38
19:39:56, 19:48:48, YouTube, 09:00, 0:00:05, 0:23:30
21:30:26, 21:36:38, Image, 06:18, 0:00:06, 0:06:11
22:26:50, 22:33:34, YouTube, 06:48, 0:00:04, 0:06:43
22:33:34, 22:40:32, YouTube, 06:48, -0:00:06, 0:13:41
22:40:32, 22:47:23, YouTube, 06:48, -0:00:09, 0:20:32
22:47:23, 22:51:54, YouTube, 04:30, -0:00:09, 0:25:03
22:51:54, 22:59:03, YouTube, 06:48, -0:00:30, 0:32:12
22:59:03, 23:03:30, YouTube, 04:30, -0:00:26, 0:36:39
23:03:30, 23:08:13, YouTube, 04:30, -0:00:39, 0:41:22
23:08:13, 23:14:39, YouTube, 06:48, -0:00:17, 0:47:48
23:14:39, 23:18:50, YouTube, 04:30, 0:00:01, 0:51:59
23:18:50, 23:23:32, YouTube, 04:30, -0:00:10, 0:56:41
23:23:32, 23:28:05, YouTube, 04:30, -0:00:13, 1:01:14
23:28:05, 23:37:23, U-O, 08:00, -0:01:31, 1:10:32
23:37:23, 23:44:12, U-O, 08:00, -0:00:19, 1:17:21
23:44:12, 23:52:13, U-O, 08:00, -0:00:21, 1:25:22
23:52:13, 23:59:57, U-O, 08:00, -0:00:04, 1:33:06
